Item ID,String.object_name,String.object_desc,String.object_classification
C62845-102,"Diodes,Rectifier,MBRS130T3G,1A@+115C,SMD,SMB","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C62845-105,"Diodes,Rectifier,MBRS1100T3G,1A@TL=163°C,SMD,SMB","9-August-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000449
C67000-028,"Diodes,Voltage Suppressor,MSMBJ15A,SMD,DO-214AA","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C67000-046,"Diodes,Voltage Suppressor,MSMBJ30A,SMD,DO-214AA","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C67000-050,"Diodes,Voltage Suppressor,MSMBJ36A,SMD,DO-214AA","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C67000-062,"Diodes,Voltage Suppressor,MSMBJ54A,SMD,DO-214AA","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C67000-102,"Diodes,Voltage Suppressor,MSMBJ5.0CA,SMD,DO-214AA","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67000-110,"Diodes,Voltage Suppressor,MSMBJ7.5CA,SMD,DO-214AA","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67000-114,"Diodes,Voltage Suppressor,MSMBJ8.5CA,SMD,DO-214AA","9-August-2023_CIS_Export : ",CLS-1000449
C67000-122,"Diodes,Voltage Suppressor,MSMBJ12CA,SMD,DO-214AA","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
