Item ID,String.object_name,String.object_desc,String.object_classification
911966-007,"Inductor,100uH,1.35A,10%,TH,TH","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
911966-008,"Inductor,40uH,1.18A,10%,TH,Custom","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000453
911966-009,"Inductor,40uH,2.03A,-5%/+10%,TH","9-August-2023_CIS_Export : ",CLS-1000453
911966-010,"Inductor,100uH,0.5A,10%,TH,TH","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
C03803-002,"Inductor,Magnetically Shielded,250uH,69320,TH","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000453
C03803-004,"Inductor,130uH,TH,TH","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
C22098-003,"Inductor,100uH,3.08A,-5%/+10%,TH,TH","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000453
C47957-054,"ICs,Filter Module,20A,FIAM2C22,TH","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
C47957-055,"ICs,Filter Module,10A,FIAM1C22,TH","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
C53168-002,"Ferrite Bead,2744041447,5A,25%,SMD,SMT","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
