Item ID,String.object_name,String.object_desc,String.object_classification
C67000-124,"Diodes,Voltage Suppressor,MSMBJ13CA,SMD,DO-214AA","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
C67000-136,"Diodes,Voltage Suppressor,MSMBJ20CA,SMD,DO-214AA","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67000-150,"Diodes,Voltage Suppressor,MSMBJ36CA,SMD,DO-214AA","9-August-2023_CIS_Export : 80 - FCS, AMSTERDAM",CLS-1000449
C67000-153,"OBSOLETE,Diodes,Voltage Suppressor,SMBJ43C,SMD,DO-214AA","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67000-154,"Diodes,Voltage Suppressor,MSMBJ43CA,SMD,DO-214AA","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67000-160,"Diodes,Voltage Suppressor,SMBJ51CA,SMD,DO-214AA","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67416-001,"OBSOLETE,Diodes,QRS1220T30,88 Amps,SMD,Module","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67421-008,"OBSOLETE,Diodes,Zener/Reference,BZX84B4V7LT1,0.005A,SMD,SOT23-3","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67421-014,"OBSOLETE,Diodes,Zener/Reference,BZX84C8V2LT1,0.005A,SMD,SOT23-3","9-August-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449
C67421-016,"OBSOLETE,Diodes,Zener/Reference,BZX84C10LT1,0.005A,SMD,SOT23-3","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449
