Item ID,String.object_name,String.object_desc,String.object_classification
C53907-358,"Diodes,Voltage Suppressor,SMCJ48CA,SMD,DO-214AB","9-August-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449
C53907-370,"Diodes,Voltage Suppressor,SMCJ70CA-E3,SMD,DO-214AB","9-August-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449
C53907-380,"Diodes,Voltage Suppressor,SMCJ100CA,9.3A,SMD,DO-214AB","9-August-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000449
C59019-004,"OBSOLETE,Diodes,Rectifier,ES1D,1A,SMD,DO-214AC(SMA)","9-August-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449
C59897-001,"OBSOLETE,Diodes,Schottky,30BQ060,4A@+113C (3A@+123C),SMD,DO-214AB","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C62030-001,"Filter,1500pF,3A,TH,Custom","9-August-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453
C62845-002,"OBSOLETE,Diodes,Rectifier,MBRS130T3,1A@+115C,SMD,SMB","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C62845-003,"OBSOLETE,Diodes,Rectifier,MBRS140T3,1A@+115C,SMD,SMB","9-August-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000449
C62845-005,"OBSOLETE,Diodes,Rectifier,MBRS1100T3,1A@163C (2A@148C),SMD,SMB","9-August-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449
C62845-101,"Diodes,Rectifier,MBRS120T3G,1A@+115C,SMD,SMB","9-August-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000449
