Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CD02066-032,"Resistors,1.96,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-033,"Resistors,2.00,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-034,"Resistors,2.05,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-035,"Resistors,2.10,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-036,"Resistors,2.15,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-037,"Resistors,2.20,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-038,"Resistors,2.21,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-039,"Resistors,2.26,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-040,"Resistors,2.32,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-041,"Resistors,2.37,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-042,"Resistors,2.4,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-043,"Resistors,2.43,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-044,"Resistors,2.49,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-045,"Resistors,2.55,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-046,"Resistors,2.61,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-047,"Resistors,2.67,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD02066-048,"Resistors,2.7,1%,100ppm,0.5W,SMD,1210","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
