Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CA73901-376,"A350 Use Only:,Capacitors,0.47uF,25V,10%,X7R,0805","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CA73901-427,"A350 Use Only: Capacitors,150pF,100V,1%,C0G,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CA73901-856,"A350 Use Only: Capacitors,0.010uF,200V,10%,X7R,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CA73905-001,"Diodes,Rectifier,MBRB20H100CT*,20A,SMD,D2PAK","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
CA74010-001,"ICs,Converter/Conditioner,16-Bit,LTC1609A,SMD,SOIC-20","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA74110-001,"Diodes,Schottky,20CLQ045,20A,SMD,SMD","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CA74119-011,"Inductor,15uH,20%,SMD,Custom","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000453,US,Commercial
CA74265-001,"OBSOLETE,ICs,RF Device,SGA-2163,SMD,SOT-363","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000452,US,Commercial
CA74365-001,"ICs,Line Transceiver,UT63M143CCA,SMD,Flatpack","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA74544-001,"Connectors,Modular Jack,RJ11,Unshielded,RA,TH,6P","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000447,US,Commercial
CA74544-002,"Connectors,Modular Jack,RJ45,RA,TH,8P","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000447,US,Commercial
CA74627-001,"Connectors,Socket,D38999-24TE35SN,TH,55","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74627-005,"Connectors,Socket,TH,55,D38999/24TE35SA","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74708-002,"Resistors,0.0003,1%,5W,SMD,WSL5931","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000457,US,Commercial
CA74708-004,"Resistors,0.001,1%,5W,SMD,WSL5931","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000457,US,Commercial
CA74759-013,"A350 Use Only: Capacitors,10pF,100V,5%,C0G,0603","6-October-2023_CIS_Export : ",CLS-1000446,US,Commercial
CA74759-013PBF,"A350 Use Only,Capacitors,10pF,100V,5%,C0G,SMD,0603","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000446,US,Commercial
CA74759-025,"A350 Use Only: Capacitors,100pF,100V,5%,C0G,0603","6-October-2023_CIS_Export : ",CLS-1000446,US,Commercial
CA74759-025PBF,"A350 Use Only,Capacitors,100pF,100V,5%,C0G,SMD,0603","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000446,US,Commercial
CA74759-146,"A350 Use Only: Capacitors,3300pF,100V,10%,X7R,0603","6-October-2023_CIS_Export : ",CLS-1000446,US,Commercial
CA74759-152,"A350 Use Only: Capacitors,5600pF,100V,10%,X7R,0603","6-October-2023_CIS_Export : ",CLS-1000446,US,Commercial
CA74759-156,"A350 Use Only: Capacitors,0.010uF,100V,10%,X7R,0603","6-October-2023_CIS_Export : ",CLS-1000446,US,Commercial
CA74759-339,"A350 Use Only: Capacitors,1000pF,50V,1%,C0G,0603","6-October-2023_CIS_Export : ",CLS-1000446,US,Commercial
CA74759-339PBF,"A350 Use Only,Capacitors,1000pF,50V,1%,C0G,SMD,0603","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000446,US,Commercial
CA74759-456,"A350 Use Only,Capacitors,0.01uF,50V,10%,X7R,SMD,0603","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000446,US,Commercial
CA74759-468,"A350 Use Only: Capacitors,0.100uF,50V,10%,X7R,0603","6-October-2023_CIS_Export : ",CLS-1000446,US,Commercial
CA74760-023,"A350 Use Only:,Capacitors,68pF,100V,5%,C0G,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CA74760-025,"A350 Use Only:,Capacitors,100pF,100V,5%,C0G,0603","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CA74760-136,"A350 Use Only:,Capacitors,680pF,100V,10%,X7R,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CA74760-139,"A350 Use Only:,Capacitors,1000pF,100V,10%,X7R,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CA74760-150,"A350 Use Only:,Capacitors,4700pF,100V,10%,X7R,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CA74760-156,"A350 Use Only:,Capacitors,0.01uF,100V,10%,X7R,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CA74760-468,"A350 Use Only:,Capacitors,0.1uF,50V,10%,X7R,0603","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CA74765-001,"Connectors,Socket,TH,13,D38999/24FB35BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-002,"Connectors,Socket,TH,55,D38999/24FE35BB","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-003,"Connectors,Socket,TH,22,D38999/24FC35BA","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-004,"Connectors,Socket,TH,22,D38999/24FC35BB","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-005,"Connectors,Socket,TH,22,D38999/24FC35BC","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-006,"Connectors,Socket,TH,22,D38999/24FC35BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-007,"Connectors,Socket,TH,37,D38999/24FD35BA","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-008,"Connectors,Female/Socket,TH,26,D38999/20FE26BB","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-009,"Connectors,Female/Socket,TH,6,D38999/20FE6BA","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-010,"Connectors,Female/Socket,TH,8,D38999/20FE8BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-011,"Connectors,Female/Socket,TH,32,D38999/20FF32BA","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-012,"Connectors,Female/Socket,TH,32,D38999/20FF32BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-013,"Connectors,Male/Pin,TH,6,D38999/20FE6AN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-014,"Connectors,Female/Socket,TH,6,D38999/20FA35BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-015,"Connectors,Female/Socket,TH,26,D38999/20FE26BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-016,"Connectors,Female/Socket,TH,19,D38999/20FD19BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-017,"Connectors,Female/Socket,TH,26,D38999/20FE26BA","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-018,"Connectors,Female/Socket,TH,19,D38999/20FD19BA","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-019,"Connectors,Male/Pin,TH,6,D38999/20FA35AN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-020,"Connectors,Female/Socket,TH,55,D38999/20FH55BN","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA74765-021,"Connectors,Socket,TH,6,D38999/24SA35BN","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-022,"Connectors,Male/Pin,TH,13,D38999/24SB35AA","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-023,"Connectors,Socket,TH,22,D38999/24SC35BE","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-024,"Connectors,Socket,TH,22,D38999/24SC35BD","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-025,"Connectors,Socket,TH,22,D38999/24SC35BC","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-026,"Connectors,Socket,TH,22,D38999/24SC35BB","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-027,"Connectors,Socket,TH,22,D38999/24SC35BA","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-028,"Connectors,Socket,TH,55,D38999/24SE35BN","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CA74765-029,"Connectors,Socket,TH,10,D38999/24SC98BA","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
