Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CD29333-659,"Resistors,43K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD29333-716,"Resistors,100K,0.1%,25ppm,0.1W,SMD,0603","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD29334-001,"Sensors,Electrical Part,SS460S,TH,TO92-3","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000755,US,Commercial
CD29418-001,"Transistors,MOSFET,FDMS86350,80V,130A,156W,SMD,PQFN-8","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CD29441-001,"ICs,NCV68261,SMD,WDFNW6","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
CD29450-028,"Capacitors,10uF,16V,10%,X7R,SMD,0805","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000446,US,Commercial
CD29459-013,"Capacitors,0.01uF,50V,10%,X7R,SMD,0603","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000446,US,Commercial
CD29459-019,"Capacitors,0.1uF,50V,10%,X7R,SMD,0603","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000446,US,Commercial
CD29459-025,"Capacitors,1.0uF,50V,10%,X7R,SMD,0603","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000446,US,Commercial
CD29508-001,"ICs,Digital Device,74LVC1G08,SMD,TSSOP-5","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000452,US,Commercial
CD29509-001,"NO DWG,ICs,Digital Device,LTC4316,SMD,MSOP-10","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD29574-001,"DIODE,RECTIFIER,SDR644CTS1,HYPERFAST 400 VOLTS,50 AMPS,SMD-1","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CD29574-003,"DIODE,RECTIFIER,SDR644CTS1TXV,HYPERFAST 400 VOLTS,50 AMPS,SMD-1","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CD29592-001,"NO DWG,ICs,LTC7001,SMD,MSOP-10","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD29623-001,"Connectors,Receptacle,Female/Socket,0.049 IN,SMD,10","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CD29623-002,"Connectors,Receptacle,Female/Socket,0.049 IN,SMD,16","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CD29623-003,"Connectors,Receptacle,Female/Socket,0.049 IN,SMD,16","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CD29650-001,"GIL ONLY,INFO ID 13505,NO DWG,DIODE,SCHOTTKY,30SLJQ030SCS,30V,30A,SMD-0.5","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CD29650-001,"GIL ONLY,INFO ID 13505,NO DWG,DIODE,SCHOTTKY,30SLJQ030SCS,30V,30A,SMD-0.5","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CD29651-001,"GIL ONLY,INFO ID 21924,NO DWG,Transistors,MOSFET,FBG10N30BSH,100V,30A,SMD,FSMD-B","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CD29651-001,"GIL ONLY,INFO ID 21924,NO DWG,Transistors,MOSFET,FBG10N30BSH,100V,30A,SMD,FSMD-B","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CD29652-001,"GIL ONLY,INFO ID 23641,NO DWG,Transistors,MOSFET,FBG20N18BSH,200V,18A,SMD,FSMD-B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000461,US,Commercial
CD29652-001,"GIL ONLY,INFO ID 23641,NO DWG,Transistors,MOSFET,FBG20N18BSH,200V,18A,SMD,FSMD-B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000461,US,Commercial
CD29653-001,"GIL ONLY,INFO ID 24332,NO DWG,Transistors,MOSFET,FBG04N30BSH,40V,30A,SMD,FSMD-B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000461,US,Commercial
