Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CB56514-001,"ICs,Reference and Regulator,VRG8666,SMD,SMD-5","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000452,US,Commercial
CB56517-001,"ICs,ISL706ARHF,SMD,Flatpack","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB56517-002,"ICs,ISL706BRHF,SMD,Flatpack","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB56520-001,"SELECTED ITEM,Optocouplers,HCPL-5531,TH,CDIP-8","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000455,US,Commercial
CB56522-001,"OBSOLETE,ICs,Analog Switch,AD7511DISQ,TH,CDIP-16","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB56559-001,"ICs,Memory Device,IS64LF25636A-7.5B3LA3,SMD,PBGA-165","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB56561-001,"ICs,Memory Device,MR2A08AMYS35,SMD,TSOP2","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB56562-001,"Connectors,Male/Pin,TH,14","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000447,US,Commercial
CB56563-001,"NO DWG,Capacitors,27pF,25V,5%,C0G,0603","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CB56563-002,"NO DWG,Capacitors,22pF,16V,5%,C0G,0603","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CB56563-003,"NO DWG,Capacitors,12pF,16V,5%,C0G,0603","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CB56568-001,"NO DWG,Capacitors,5uF,100V,10%,Polyester,AXIAL","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000446,US,Commercial
CB56568-002,"NO DWG,Capacitors,20uF,100V,10%,Polyester,AXIAL","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000446,US,Commercial
CB56570-001,"MCG ONLY,Capacitors,18pF,100V,5%,C0G,0402","6-October-2023_CIS_Export : 60 - COMPONENTS GROUP, BLACKSBURG OPS",CLS-1000446,US,Commercial
CB56571-001,"NO DWG,Crystals and Oscillators,25000KHz,SMD","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000448,US,Commercial
CB56588-001,"Filter,DSF100,TH","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000453,US,Commercial
CB56597-001,"ICs,Programmable Logic Device,AX2000-1CQ256M,SMD,Flatpack","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB56597-002,"ICs,Programmable Logic Device,AX2000-FG896M,SMD,FBGA-896","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000452,US,Commercial
CB56597-003,"ICs,Programmable Logic Device,AX2000-FG896I,SMD,FBGA-896","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000452,US,Commercial
CB56623-001,"ICs,ISL78225,PWM Controller,SMD,TQFP-44","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB56625-001,"Diodes,LED,GREEN,LTL2R3KG,0.03A,Radial,TH","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449,US,Commercial
CB56626-001,"Diodes,LED,RED,LTL-10223W,0.03A,Radial,TH","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000449,US,Commercial
CB56628-001,"NO DWG,Connectors,Plug,Pin,0.100 IN,TH,60","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CB56653-001,"Transformers,0.826x0.826 IN,749196500","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000460,US,Commercial
CB56653-002,"Transformers,500Vdc,10KHz,749196501","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000460,US,Commercial
CB56654-010,"Capacitors,10uF,50V,10%,X7R,1210","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CB56654-022,"Capacitors,22uF,25V,10%,X7R,SMD,1210","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000446,US,Commercial
CB56656-001,"ICs,MIC4417YM4TR,SMD,SOT-143","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
CB56657-001,"Diodes,Schottky,MBRB20200CTT4G,20A,SMD,D2PAK","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
CB56659-001,"Inductor,0.1uH,SMD,1812","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000453,US,Commercial
CB56659-149,"Inductor,1000uH,0.03A,5%,SMD","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000453,US,Commercial
CB56744-001,"SELECTED ITEM,Diodes,Rectifier,JANTXV1N5806US,2.5A,SMD,SMD","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CB56744-002,"SELECTED ITEM,Diodes,Rectifier,JANTXV1N5811US,3A@+55C,SMD,D-5B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CB56745-001,"SELECTED ITEM,Diodes,Schottky,JANTXV1N5819UR-1,1A,SMD,DO-213AB","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CB56755-002,"SELECTED ITEM,Diodes,Voltage Suppressor,JANTXV1N6112AUS,0.065A,SMD,D-5B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CB56755-004,"SELECTED ITEM,Diodes,Voltage Suppressor,JANTXV1N6124AUS,0.02A,SMD,D-5B","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CB56767-001,"SELECTED ITEM,Diodes,Zener/Reference,JANTXV1N6326US,0.020A,SMD,MELF-B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CB56767-002,"SELECTED ITEM,Diodes,Zener/Reference,JANTXV1N6327US,0.033A,SMD,MELF-B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CB56767-003,"SELECTED ITEM,Diodes,Zener/Reference,JANTXV1N6330DUS,SMD,MELF-8","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
CB56767-004,"SELECTED ITEM,Diodes,Zener/Reference,JANTXV1N6323US,SMD,MELF-B","6-October-2023_CIS_Export : 99 - DESIGN AUTHORITY (PURCH PARTS) I.E. NAS, MS ETC.",CLS-1000449,US,Commercial
