Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CB62763-002,"Transformers,16V,8V,12V,10.65W,TH","6-October-2023_CIS_Export : ",CLS-1000460,US,Commercial
CB62763-003,"Transformers,16V,8V,12V,10.65W,TH","6-October-2023_CIS_Export : ",CLS-1000460,US,Commercial
CB62819-001,"NO DWG,Resistors,5.00,1%,50ppm,1W,SMD,2515","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000457,US,Commercial
CB62820-001,"NO DWG,ICs,LTC1983,SMD,TSOT23-6","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000452,US,Commercial
CB62872-001,"ICs,Micro Device,P1013NXN2LFB,SMD,PBGA-689","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000452,US,Commercial
CB62873-001,"NO DWG,ICs,Memory Device,W3J128M72G-1333PBI,SMD,PBGA-375","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000452,US,Commercial
CB62874-001,"NO DWG,ICs,Memory Device,S70GL02GS11FHI01,SMD,BGA-64","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000452,US,Commercial
CB62875-001,"NO DWG,ICs,Programmable Logic Device,A3PE3000L,SMD,FBGA484","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000452,US,Commercial
CB62877-001,"ICs,Line Transceiver,KSZ9031RNXIC,SMD,QFN-48","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000452,US,Commercial
CB62877-002,"ICs,Line Transceiver,KSZ9031RNX,SMD,QFN-48","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000452,US,Commercial
CB62878-001,"NO DWG,Transformers","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000460,US,Commercial
CB62879-001,"NO DWG,Diodes,Zener/Reference,BZV90-C3V0,SMD,SOT-223","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CB62880-004,"ICs,Converter/Conditioner,NDS6S2405C,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB62880-006,"ICs,Converter/Conditioner,NDS6S2415C,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB62881-001,"NO DWG,ICs,Converter/Conditioner,NDH2415SC,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB62881-002,"NO DWG,ICs,Converter/Conditioner,NDH2412SC,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CB62882-001,"NO DWG,Miscellaneous Devices,2-1571551-9,TH,DIPSKT28","6-October-2023_CIS_Export : 93 - AIRCRAFT GROUP, INDIA AIRCRAFT OPERATIONS",CLS-1000454,US,Commercial
CB62883-001,"OBSOLETE,Inductor,0.015H,0.26A,10%,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000453,US,Commercial
CB62883-002,"OBSOLETE,Inductor,0.01H,0.33A,10%,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000453,US,Commercial
CB62929-001,"NO DWG,Optocouplers,VOS617A-7T,SMD,SSOP-4","6-October-2023_CIS_Export : 80 - FCS, AMSTERDAM",CLS-1000455,US,Commercial
CB62929-002,"NO DWG,Optocouplers,VOS617AT,SMD,SSOP-4","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000455,US,Commercial
