Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CD09740-001,"ICs,ST4SI2M0020,SMD,VFDFPN-8","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
CD09741-001,"Connectors,Receptacle,Female/Socket,0.050 IN,SMD,7","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CD09742-001,"Diodes,Voltage Suppressor,ESD9R3.3ST5G,SMD,SOD923-2","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000449,US,Commercial
CD09743-001,"ICs,Converter/Conditioner,MAX629,SMD,SOIC-8","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000452,US,Commercial
CD09744-108,"Connectors,Receptacle,Male/Pin,0.1574 IN,TH,8","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CD09744-114,"Connectors,Receptacle,Male/Pin,0.1574 IN,TH,14","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CD09744-123,"Connectors,Receptacle,Male/Pin,0.1574 IN,TH,23","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CD09744-135,"Connectors,Receptacle,Male/Pin,0.1574 IN,TH,35","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CD09906-039,"Resistors,39,1%,100ppm,2W,SMD,2010","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD09908-001,"Transistors,MOSFET,IRFR4620PBF,200V,24A@Tc=25C,Vgs=10V,144W@Tc=25C,SMD,D-pak","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000461,US,Commercial
CD09909-001,"ICs,Comparator,LM319M,SMD,SOIC-14","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD09920-001,"ICs,Reference and Regulator,ZXTR2105FQ,SMD,SOT-23","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD09979-001,"Transformers,Power Conversion,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000460,US,Commercial
CD09979-002,"Transformers,Power Conversion,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000460,US,Commercial
CD09979-003,"Transformers,Power Conversion,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000460,US,Commercial
CD09979-004,"Transformers,Power Conversion,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000460,US,Commercial
CD10325-001,"ICs,Op Amp,OPA4325,SMD,TSSOP-14","6-October-2023_CIS_Export : ",CLS-1000452,US,Commercial
CD10352-001,"ICs,Digital Device,SN74LVC1G14DBV,SMD,SOT23-5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD10352-002,"ICs,Digital Device,SN74LVC1G14DCK,SMD,SC70-5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD10352-003,"ICs,Digital Device,SN74LVC1G14DRL,SMD,SOT553-5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD10352-004,"ICs,Digital Device,SN74LVC1G14DRY,SMD,SON-6","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD10352-005,"ICs,Digital Device,SN74LVC1G14DSF,SMD,X2SON(DSF)","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CD10352-006,"ICs,Digital Device,SN74LVC1G14DPW,SMD,X2SON-5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
