Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CD18189-001,"Connectors,Plug,Male/Pin,0.100 IN,TH,64","6-October-2023_CIS_Export : 92 - CORPORATE GROUP, IRELAND",CLS-1000447,US,Commercial
CD18252-006,"NO DWG,Inductor,22uH,20%,TH,AGP4233","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000453,US,Commercial
CD18255-001,"NO DWG,Transistors,MOSFET,SUD19P06-60-E3,-60V,-18.3A@Tc=25C,38.5W@Tc=25C,SMD,TO-252AA(D-PAK)","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CD18317-001,"Transistors,MOSFET,Si4848ADY-T1-GE3,150V,3.9A@TA=25C,2.5W@TA=25C,SMD,SOIC-8","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000461,US,Commercial
CD18331-001,"Resistors,1.0,1%,200ppm,0.5W,SMD,1206","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CD18331-058,"Resistors,3.3,1%,200ppm,0.5W,SMD,1206","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CD18377-027,"Inductor,120uH,1.65A,10%,SMD,SRR1260A","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000453,US,Commercial
CD18378-009,"Resistors,0.006,1%,+/-75ppm,2W,SMD,2010","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000457,US,Commercial
CD18391-001,"NO DWG,Diodes,Schottky,SSR40C20CTS.5,40A,SMD,SMD-0.5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CD18391-002,"NO DWG,Diodes,Schottky,SSR40C20CTS.5TX,40A,SMD,SMD-0.5","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
