Item ID,String.object_name,String.object_desc,String.object_classification,String.ent4_jurisdiction_country,String.ip_classification
CA80704-026,"Resistors,10K/10K,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80704-027,"Resistors,5K/5K,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80704-028,"Resistors,2K/2K,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80704-029,"Resistors,1K/1K,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80704-030,"Resistors,500/500,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80704-031,"Resistors,400/400,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80704-032,"Resistors,200/200,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80704-033,"Resistors,100/100,0.02%,0.5ppm,0.1W,SMD,SMD","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80762-001,"OBSOLETE,Transistors,MOSFET,IRLR2905,55V,42A,110W@Tc=25C,SMD,D-pak","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000461,US,Commercial
CA80762-101,"Transistors,MOSFET,IRLR2905,55V,42A,110W@Tc=25C,SMD,D-pak","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000461,US,Commercial
CA80903-001,"ICs,Other,Sigma-Delta Modulator,AD7401,SMD,SOIC-16","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80903-101,"ICs,AD7401YRWZ,SMD,SOIC-16","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80903-102,"ICs,Isolated Modulator,Sigma-Delta,AD7401,SMD,SOIC-16","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80904-001,"Transistors,BJT,ZXTC2063E6,3.5A(-3A),1.1W@Ta=25C,SMD,SOT23-6","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA80905-003,"Transformers,Ferrite Core,12.5V,400kHz","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000460,US,Commercial
CA80906-001,"ICs,Reference and Regulator,LT3010-5,SMD,MSOP-8","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80907-001,"Transistors,IGBT,FS150R12KT4,150A,750W,TH","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA80908-001,"Transistors,BJT,ZDT6790,6A(-6A),2.25W@Ta=25C,SMD,SOT223-8","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA80909-001,"ICs,Reference and Regulator,TPS71550-Q1,SMD,SC70-5","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80910-001,"ICs,Converter/Conditioner,DAC8551IDGK,SMD,MSOP-8","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80911-001,"ICs,Other,LVDS Buffer/Repeater,SCAN90004,SMD,TQFP","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80956-004,"Choke,100uH,1.6A,25%,SMD,CM6149","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000453,US,Commercial
CA80956-006,"Choke,220uH,1A,25%,SMD,SMT","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000453,US,Commercial
CA80958-001,"ICs,Programmable Logic Device,XC3S200AN-5FT256C,SMD,FTBGA256","6-October-2023_CIS_Export : ",CLS-1000452,US,Commercial
CA80959-001,"Optocouplers,ACPL-M61T,SMD,SO","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000455,US,Commercial
CA80960-001,"Resistors,0.002,0.5%,25ppm,3W,SMD,CSM3637","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-002,"Resistors,0.01,0.5%,15ppm,3W,SMD,CSM3637","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-003,"Resistors,0.009,0.5%,15ppm,3W,SMD,CSM3637","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-004,"Resistors,0.018,0.5%,15ppm,2W,SMD,CSM3637","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-005,"Resistors,0.004,0.5%,15ppm,3W,SMD,CSM3637","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-006,"Resistors,0.006,0.5%,15ppm,3W,SMD,CSM3637","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-007,"Resistors,0.20,0.5%,15ppm,2W,SMD,CSM3637","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-008,"Resistors,0.010,0.1%,15ppm,1W,SMD,CSM2512","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80960-009,"Resistors,0.010,1%,15ppm,1W,SMD,CSM2512","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA80961-001,"ICs,Comparator,LMV7271,SMD,SOT-23-5","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80961-002,"ICs,Comparator,LMV7275,SMD,SOT-23-5","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80961-101,"ICs,Comparator,LMV7271,SMD,SOT-23-5","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA80961-102,"ICs,Comparator,LMV7275,SMD,SOT-23-5","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA81010-001,"NO DWG,ICs,Digital Device,TPS75003,SMD,QFN-20","6-October-2023_CIS_Export : ",CLS-1000452,US,Commercial
CA81012-001,"OBSOLETE,ICs,Memory Device,MT47H32M16HR,SMD,FBGA","6-October-2023_CIS_Export : ",CLS-1000452,US,Commercial
CA81329-001,"Connectors,Female/Socket,0.0787 IN,SMD,100","6-October-2023_CIS_Export : 04 - AIRCRAFT GROUP, TORRANCE / SEATTLE OPERATIONS",CLS-1000447,US,Commercial
CA81515-136,"Resistors,50.5,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-193,"Resistors,100,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-194,"Resistors,101,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-251,"Resistors,200,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-285,"Resistors,301,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-309,"Resistors,402,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-328,"Resistors,505,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-342,"Resistors,597,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-355,"Resistors,698,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-367,"Resistors,806,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-377,"Resistors,909,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-385,"Resistors,1K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-393,"Resistors,1.10K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-400,"Resistors,1.20K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-407,"Resistors,1.30K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-413,"Resistors,1.40K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-419,"Resistors,1.50K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-420,"Resistors,1.52K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-424,"Resistors,1.60K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-429,"Resistors,1.69K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-434,"Resistors,1.80K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-435,"Resistors,1.82K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-439,"Resistors,1.91K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-443,"Resistors,2K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-447,"Resistors,2.10K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-451,"Resistors,2.21K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-454,"Resistors,2.29K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-458,"Resistors,2.40K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-461,"Resistors,2.49K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-469,"Resistors,2.74K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-471,"Resistors,2.80K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-487,"Resistors,3.40K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-577,"Resistors,10K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-579,"Resistors,10.2K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81515-609,"Resistors,14.7K,0.01%,5ppm,0.125W,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000457,US,Commercial
CA81543-001,"Sensors,Electrical Part,9001-150,TH","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000755,US,Commercial
CA81543-002,"Sensors,Electrical Part,9001-125,TH","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000755,US,Commercial
CA81543-003,"Sensors,Electrical Part,9001-100,TH","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000755,US,Commercial
CA81543-004,"Sensors,Electrical Part,9001-075,TH","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000755,US,Commercial
CA81543-005,"Sensors,Electrical Part,9001-050,TH","6-October-2023_CIS_Export : 21 - SYSTEMS GROUP, EAST AURORA OPERATIONS",CLS-1000755,US,Commercial
CA81544-001,"Connectors,Male/Pin,SMD,440","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000447,US,Commercial
CA81856-001,"NO DWG,Choke,15.0uH,3.20A,30%,SMD,Custom","6-October-2023_CIS_Export : 20 - INTERNATIONAL GROUP, GMBH",CLS-1000453,US,Commercial
CA81856-002,"NO DWG,Inductor,22uH,2.5A,30%,SMD","6-October-2023_CIS_Export : 20 - INTERNATIONAL GROUP, GMBH",CLS-1000453,US,Commercial
CA81858-001,"NO DWG,Choke,2.20uH,2.5A,30%,SMD,Custom","6-October-2023_CIS_Export : 20 - INTERNATIONAL GROUP, GMBH",CLS-1000453,US,Commercial
CA81865-001,"Transistors,MOSFET,SI5504BDC,Vds=+/-30V,Vgs=+/-20V,3.7A(N-Ch),-2.50A(P-Ch)@TA=25C,1.5W@TA=25C,SMD,SMT","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA81924-004,"Capacitors,2.2uF,1000V,10%,Polypropylene,Radial","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CA81924-006,"Capacitors,2.2uF,800V,10%,Polypropylene,TH","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000446,US,Commercial
CA82020-001,"ICs,Digital Device,CD74HCT04M,SMD,SOIC-14","6-October-2023_CIS_Export : 05 - MOOG AG MITC, BANGALORE",CLS-1000452,US,Commercial
CA82045-001,"Transistors,MOSFET,BSS192P,-250V,-0.19A @TA=25C,1W,SMD,SOT-89","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA82072-101,"Transistors,BJT,BC807,-50V,-0.8A,-0.31W,SMD,SOT-23-3","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA82072-102,"Transistors,BJT,BC807,-50V,-0.8A,-0.31W,SMD,SOT-23-3","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA82072-103,"Transistors,BJT,BC807,-50V,-0.8A,-0.31W,SMD,SOT-23-3","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA82266-001,"Diodes,LED,AMBER,HSMA-C170,0.025A,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CA82266-002,"Diodes,LED,RED,HSMC-C170,0.025A,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CA82266-003,"Diodes,LED,ORANGE,HSML-C170,0.025A,SMD,0805","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CA82271-001,"ICs,Op Amp,INA129,SMD,SOIC-8","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000452,US,Commercial
CA82278-001,"Transistors,MOSFET,Si5515CDC,Vds=+/-20V,Vgs=+/-8V,4A(N-Ch),-4A(P-Ch)@TC=25C,3.1W@TC=25C,SMD,SMT","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA82286-001,"ICs,Converter/Conditioner,DC-DC,LANE505NI,TH,SIP","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000452,US,Commercial
CA82286-002,"ICs,Converter/Conditioner,DC-DC,LANE512NDI,TH,SIP","6-October-2023_CIS_Export : 06 - AIRCRAFT GROUP, SALT LAKE / WICHITA OPERATIONS",CLS-1000452,US,Commercial
CA82345-001,"Transistors,MOSFET,ZXMP6A13G,-60V,-2.3A@Vgs=-10V,TA=25C,2.0W@25C,SMD,SOT223-4","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000461,US,Commercial
CA82346-001,"OBSOLETE,Diodes,Schottky,MBRA160T3,1A,SMD,SMA","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CA82346-101,"Diodes,Schottky,MBRA160T3G,1A,SMD,SMA","6-October-2023_CIS_Export : 20 - INTERNATIONAL GROUP, GMBH",CLS-1000449,US,Commercial
CA82346-201,"Diodes,Schottky,NRVBA160T3G,60A,SMD,SMA","6-October-2023_CIS_Export : 21 - SPACE & DEFENSE GROUP, EAST AURORA OPERATIONS",CLS-1000449,US,Commercial
CA82347-001,"OBSOLETE,Connectors,Female/Socket,0.07874 IN,TH,110","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
CA82347-002,"OBSOLETE,Connectors,Female/Socket,0.07874 IN,TH,110","6-October-2023_CIS_Export : 02 - AIRCRAFT GROUP, EAST AURORA OPERATIONS",CLS-1000447,US,Commercial
